job_skill,frequency
SQL,717
Python,609
Big Data / Data Science,386
Backend,378
Java,353
Jira,332
Business analytics,288
Git,284
Docker,274
Kubernetes,269
Confluence,259
Wykształcenie wyższe,249
AWS,248
JavaScript,232
Project Management,229
Samodzielność,227
IT admin,222
PostgreSQL,192
samodzielność,192
C#,160
Jenkins,156
TypeScript,150
Oracle,150
HTML,142
CSS,140
Komunikatywność,138
Microsoft Azure,135
C++,135
System analytics,130
Excel,127
dokładność,126
DevOps,125
wykształcenie wyższe,125
Kafka,120
ekonomia,120
Umiejętność pracy w zespole,119
Full-stack,115
Angular,113
UML,113
BPMN,113
komunikatywność,112
AI/ML,111
Linux,110
SAP&ERP,107
QA/Testing,107
SAP,106
finanse,103
Architecture,103
umiejętność pracy w zespole,101
.NET,101
MySQL,101
Terraform,101
Google Cloud Platform,100
kreatywność,93
Agile,90
Prawo jazdy kat. B,88
Enterprise Architect,87
React.js,86
Microsoft Power BI,86
odpowiedzialność,82
Product Management,82
Umiejętność analitycznego myślenia,80
Azure DevOps,79
Microsoft SQL Server,78
Dobra organizacja pracy,77
Ansible,77
zaangażowanie,76
dobra organizacja pracy,75
Dokładność,75
C,75
Grafana,74
GitLab,74
Bash,73
Kreatywność,73
Postman,72
MongoDB,71
Azure,71
Hadoop,71
Spark,71
PowerPoint,70
Spring Boot,70
Power BI,69
Frontend,68
Node.js,67
JIRA,67
zarządzanie,65
Wykształcenie wyższe techniczne,64
umiejętność pracy pod presją czasu,63
Tableau,63
R,62
Dobra znajomość języka angielskiego,61
umiejętność analitycznego myślenia,58
Maven,57
Word,57
Zaangażowanie,56
PowerShell,56
REST,56
Bardzo dobra znajomość języka angielskiego,55
Engineering,55
React,55
bankowość,55
Databricks,55
Znajomość języka angielskiego,54
matematyka,54
sumienność,54
Microsoft Excel,54
Komunikatywna znajomość języka angielskiego,54
or a related field,54
Znajomość pakietu MS Office,53
or a related field.,53
Scala,53
skrupulatność,52
PL/SQL,52
terminowość,52
Security,50
Hibernate,50
Mobile,49
RabbitMQ,49
rzetelność,48
Umiejętność pracy pod presją czasu,48
PHP,47
etc.),46
etc.,46
Fluent English,46
GitHub,46
rachunkowość,45
T-SQL,45
Go,45
Prawo jazdy kat. B.,45
Kotlin,44
Android,44
Prometheus,44
Znajomość języka angielskiego na poziomie komunikatywnym,44
Zdolności analityczne,44
Mathematics,44
Redis,44
Google Analytics,44
Helpdesk,43
Figma,42
PowerPoint),41
Computer Science,41
Airflow,41
REST API,41
Bardzo dobra znajomość pakietu MS Office,40
PySpark,40
SPC,40
GIT,39
Odpowiedzialność,39
Selenium,39
Spring Framework,38
Doświadczenie na podobnym stanowisku,38
CI/CD,38
prawo jazdy kat. B,38
SoapUI,38
Apache Spark,38
Elasticsearch,38
dyspozycyjność,38
JSON,37
inicjatywa,36
statystyka,35
Windows Server,35
GraphQL,35
znajomość języka angielskiego,34
Komunikatywność i umiejętność pracy w zespole,34
prawo,34
XML,34
Samodzielność w działaniu,34
Proaktywność,34
UX/UI,34
Finance,34
Miro,33
VMware,33
Bardzo dobra organizacja pracy,33
Pandas,33
Embedded,33
ekonometria,33
Dobra organizacja pracy własnej,32
iOS,32
Umiejętności analityczne,32
psychologia,32
Word),32
Apache Airflow,32
socjologia,31
Scrum,31
FMEA,31
SAP HANA,31
Znajomość języka angielskiego na poziomie min. B2,31
Information Technology,31
IT,31
Doświadczenie w zarządzaniu zespołem,31
Power Point,30
JUnit,30
Bachelor’s degree or equivalent practical experience.,30
dobra znajomość języka angielskiego,30
Bitbucket,30
ETL,29
Vue.js,29
znajomość pakietu MS Office,29
PRINCE2,29
PyTorch,29
Economics,29
SAS,29
Snowflake,29
Swagger,29
Bardzo dobra znajomość MS Excel,28
Snowflake Data Cloud,28
BigQuery,28
odporność na stres,28
or equivalent practical experience.,28
Excellent communication skills,28
SharePoint,28
Azure Data Factory,27
Umiejętność pracy zespołowej,27
itp.),27
wykształcenie wyższe techniczne,27
Dyspozycyjność,27
Znajomość języka angielskiego w stopniu komunikatywnym,27
Spring,27
Google Ads,27
preferowane kierunki: ekonomia,27
MSA,27
Active Directory,27
Power Query,27
Fluent in English,26
Physics,26
TensorFlow,26
ekonomia),26
Znajomość języka angielskiego.,26
Meta Ads,26
both written and spoken,25
bardzo dobra organizacja pracy,25
Visual Studio,25
Fluency in English,25
komunikatywna znajomość języka angielskiego,25
proaktywność,25
Business Administration,25
w ciągu ostatnich 24 miesięcy,24
umiejętności analityczne,24
Dobra znajomość pakietu MS Office,24
dobra znajomość pakietu MS Office,24
informatyka,24
Google Tag Manager,24
Gotowość do pracy w systemie zmianowym,24
Zabbix,24
Doświadczenie w pracy na podobnym stanowisku,24
Sumienność,23
minimum 1 projekt,23
Wysoko rozwinięte umiejętności interpersonalne,23
Strong communication skills,23
asertywność,23
Wykształcenie min. średnie,23
Strong analytical and problem-solving skills,23
.NET Core,23
doświadczenie na podobnym stanowisku,23
Wysoka kultura osobista,23
Bardzo dobra organizacja pracy własnej,22
w szczególności Excel,22
Unix,22
Swift,22
Cypress,22
etc.).,22
Bachelor's degree or equivalent practical experience.,22
ServiceNow,22
Next.js,22
Gradle,22
Biegła znajomość języka angielskiego,22
Prawo jazdy kategorii B,22
Czynne prawo jazdy kat. B,22
Excel),22
w szczególności MS Excel,22
VBA,21
MS SQL,21
GCP,21
samodzielność w działaniu,21
Playwright,21
Znajomość rysunku technicznego,21
Django,21
Power Automate,21
communication,21
Umiejętność czytania rysunku technicznego,20
PPAP,20
ASP.NET,20
Ishikawa,20
Wykształcenie minimum średnie,20
NoSQL,20
prawo jazdy kat. B.,20
Salesforce,20
systematyczność,20
Mockito,20
Power Point),20
TeamCity,20
Kibana,20
GitHub Actions,20
ekonomii,20
NumPy,20
Znajomość SQL,20
IFS,20
PMP,20
Residing in Poland required,19
znajomość języka angielskiego na poziomie min. B2,19
JavaScript).,19
both written and verbal,19
Statistics,19
znajomość rysunku technicznego,19
wykształcenie min. średnie,19
DNS,19
Data Science,19
MS Project,19
8D,19
Entity Framework,19
Instagram,19
Azure Synapse,19
Dobra znajomość języka angielskiego.,19
Wykształcenie wyższe.,19
Game dev,19
Strong analytical skills,19
Bachelor's degree in Computer Science,19
CSS3,18
SOAP,18
rachunkowości,18
finansów,18
PowerPoint).,18
OpenShift,18
metody ilościowe,18
Kaizen,18
znajomość języka angielskiego w stopniu komunikatywnym,18
React Native,18
Rzetelność,18
Jest,18
Perl,17
otwartość,17
Azure SQL,17
DynamoDB,17
Zdolność analitycznego myślenia,17
Redux,17
Proactive,17
Umiejętność pracy w zespole.,17
ITIL,17
rachunkowość),17
bardzo dobra znajomość pakietu MS Office,17
Splunk,17
Umiejętność analizy danych,17
ISO 14001,17
APQP,17
Skrupulatność,17
security,17
zdolności analityczne,17
Microsoft Dynamics,17
S3,17
LinkedIn,17
storage,16
Wysoko rozwinięte umiejętności analityczne,16
Outlook),16
scikit-learn,16
Confluence),16
Bardzo dobra znajomość języka angielskiego w mowie i piśmie,16
umiejętność pracy zespołowej,16
w którym konsultant uczestniczył w sposób ciągły przez okres 6 miesięcy,16
DAX,16
bardzo dobra znajomość języka angielskiego,16
Symfony,16
Umiejętność rozwiązywania problemów,16
SAFe,16
Lambda,16
Minimum 2 lata doświadczenia na podobnym stanowisku,16
BRC,16
HTTP,16
Camunda,16
Odporność na stres,16
automatyka,16
Kubernetes),16
ERP,16
or related field.,16
SEO,15
HR,15
Analityczne myślenie,15
Doskonałe umiejętności komunikacyjne,15
Master's degree or PhD in Computer Science or related technical field.,15
doświadczenie w pracy na podobnym stanowisku,15
AI,15
problem-solving,15
5S,15
marketing,15
GMP,15
inżynieria produkcji,15
economics,15
komunikatywność.,15
NLP,15
Strong analytical and problem-solving skills.,15
PowerBI,15
SQL),15
Cassandra,15
dobra organizacja pracy własnej,15
Helm,15
Bachelor’s degree in Computer Science,15
analytical,15
Umiejętność zarządzania zespołem,15
Bardzo dobra znajomość rysunku technicznego,15
Redshift,14
Umiejętności interpersonalne,14
Wysokie umiejętności analityczne,14
kultura osobista i odporność na stres,14
HTML5,14
social media,14
Dobra organizacja czasu pracy,14
