job_title,company,matched_job_skills,total_job_skills,match_ratio
Tribe Scrum Master,ITDS Polska Sp. z o.o.,14,18,0.7777777777777778
Senior Cloud Serverless Developer,VML Enterprise Solutions Sp. z o.o.,12,35,0.34285714285714286
Junior Asset Manager,LCP Properties sp. z o.o.,2,5,0.4
Versatile Technologist,INNOBO sp. z o.o.,20,38,0.5263157894736842
Senior Azure DevOps Engineer,J-LABS sp. z o.o.,10,19,0.5263157894736842
Human Resources Manager,HedgeServ Limited,16,26,0.6153846153846154
HR Specialist,JS ENERGY EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,8,14,0.5714285714285714
Młodsza Księgowa / Młodszy Księgowy,PURO Hotels,2,8,0.25
Business Support - Accounting,Jones Lang LaSalle,4,7,0.5714285714285714
Senior Engineer (Mobile - iOS),Mindbox S.A.,13,46,0.2826086956521739
Financial Analyst,Hili Ventures Ltd.,5,10,0.5
HR Specialist,QEMETICA Soda Polska S.A.,7,12,0.5833333333333334
Business Development Partner – Switzerland,iteo Spółka Akcyjna,5,13,0.38461538461538464
Lead Test Automation Engineer,Lyreco Advantage,5,23,0.21739130434782608
Specjalista ds. Kreacji Marketingowej,FAKRO,6,12,0.5
Analityk Systemowy,speedapp,8,14,0.5714285714285714
Senior React Native Engineer,Edge One Solutions Sp. z o.o.,7,21,0.3333333333333333
Business Analyst,SQUARE ONE RESOURCES sp. z o.o.,4,14,0.2857142857142857
Internship in Fund Industry,Allfunds Branch in Poland,9,12,0.75
System analyst,Connectis_,11,21,0.5238095238095238
Pricing Specialist,Rekrutacja 360 - Pracuj.pl,8,16,0.5
Broker Ubezpieczeniowy - Ubezpieczenia Grupowe,MARSH SP. Z O.O.,7,14,0.5
Junior Recruiter,McKinsey Knowledge Center Poland Sp. z o.o.,7,10,0.7
Senior IT Support Engineer (Atlassian Stack & Cloud Migration),SQUARE ONE RESOURCES sp. z o.o.,12,21,0.5714285714285714
Kierownik Produktu Agrochemikalia,EKOPLON,6,11,0.5454545454545454
CRM Campaign Coordinator,5 BONSAI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,12,15,0.8
HR Business Partner,Grammer Automotive Polska Sp. z o. o.,14,20,0.7
Grants and Financial Analyst,CONCORDIA DESIGN sp. z o.o.,0,0,0.0
Senior Python Engineer,Printbox Sp. z o.o.,16,30,0.5333333333333333
Python Engineer,Printbox Sp. z o.o.,6,12,0.5
Główny Specjalista ds. Rozwoju Produktów Treasury,Bank Pekao,5,8,0.625
UX Designer,NEONTRI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7,16,0.4375
Kontroler jakości w dziale obróbki mechanicznej,EKOMEX-PILŚNIAK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,5,5,1.0
CRIU Program Standardization Analyst,Citi Poland,4,7,0.5714285714285714
Młodszy Specjalista ds. Certyfikacji,LUCCHINI POLAND sp. z o.o.,6,7,0.8571428571428571
Inżynier produkcji,URBASER OLSZTYN sp. z o.o.,9,17,0.5294117647058824
Brygadzista,CONTEC S.A.,11,13,0.8461538461538461
Starszy/a Administrator/ka (SAP),Giełda Papierów Wartościowych w Warszawie S.A,14,27,0.5185185185185185
Frontend developer Angular,Connectis_,13,36,0.3611111111111111
Senior Software Engineering Manager,VISA,12,34,0.35294117647058826
Software Engineer - Sr Consultant level (Java),VISA,24,63,0.38095238095238093
Java Junior Backend Software Engineer,VISA,6,17,0.35294117647058826
.NET Junior Backend Software Engineer,VISA,20,37,0.5405405405405406
Senior Consultant Software Engineer - Full Stack,VISA,5,19,0.2631578947368421
C++ Software Developer,NOVOMATIC Technologies Poland Sp. z o.o.,13,28,0.4642857142857143
Specjalista ds. digital marketingu,KENO Sp. z o.o.,10,14,0.7142857142857143
MQ Administrator,NATEK POLAND,6,13,0.46153846153846156
